enforcement_zone,latitude,longitude,violation_count,frequency_score,avg_congestion_score,max_congestion_score,priority_score,risk_level
"10th Main Road, ITI Layout, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",12.90246982548289,77.64125450219566,1,7.186324541728964,15.18,15.18,11.18316227086448,Low
"10th Main Road, Judicial Officers HBCS, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",13.0245015,77.59298515,4,16.68612885241903,14.5625,15.89,15.889814426209515,Low
"10th Main Road, KEB Quarters, Stage 4, Yelahanka New Town, Bengaluru, Karnataka. Pin-560064 (India)",13.0981558,77.5696556,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th Main Road, Kerekodi Palya, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",12.9295321,77.5351542,1,7.186324541728964,8.12,8.12,7.653162270864481,Low
"10th Main Road, Madhavan Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",12.9372387,77.585394,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"10th Main Road, Mathikere Extension, Bengaluru, Karnataka. Pin-560054 (India)",13.0305783,77.5601069,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"10th Main Road, Mount Joy Extension, Hanumantha Nagar, Bengaluru, Karnataka. Pin-560004 (India)",12.940262780000001,77.56453226,5,18.57637945838152,12.425999999999998,14.12,15.83998972919076,Low
"10th Main Road, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",13.016113533333334,77.53121753333333,3,14.372649083457928,24.48,30.01,20.53232454172896,Low
"10th Main Road, P&T Colony, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)",13.02433381851852,77.59373731728395,81,45.68743199610511,13.384691358024693,24.08,31.675123405459964,Medium
"10th Main Road, Palace Orchard Apartment, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",13.0115153,77.5793922,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th Main Road, Poornapragna Housing Society Layout, Kodipur, Bengaluru, Karnataka. Pin-560061 (India)",12.9099655,77.5345151,2,11.390054916652556,12.355,14.12,12.225527458326278,Low
"10th Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",12.933252,77.6309473,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th Main Road, Shantiniketan Layout, Arakere, Bengaluru, Karnataka. Pin-560076 (India)",12.8833483,77.60725,1,7.186324541728964,10.59,10.59,8.888162270864482,Low
"10th Main Road, Shri Satya Sai Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",12.9216785,77.5847599,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th Main Road, Sri Srinivasa Nagar Circle, Banashankari Stage 1, Bengaluru, Karnataka. Pin-560050 (India)",12.9380135898476,77.5573163275477,12,26.59256076166594,10.600833333333334,11.66,18.80853038083297,Low
"10th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9124168,77.6357411,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th Main Road, Valliappa Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.99235898,77.59202464,5,18.57637945838152,11.65,11.65,15.11318972919076,Low
"10th Main Road, Vinayaka Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",12.96196865,77.50915180000001,2,11.390054916652556,15.18,15.18,13.285027458326278,Low
"11, 1st A Main Road, Sector A, Yelahanka New Town, Yelahanka Satellite Town, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",13.0976841,77.5842765,1,7.186324541728964,8.12,8.12,7.653162270864481,Low
"11/12, Abhayadhama Road, Ambedkar Nagar, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",12.9796387,77.7507959,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"111, Varthur Main Road, Gandhi Circle, Varthur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India",12.9423434,77.7474859,1,7.186324541728964,8.12,8.12,7.653162270864481,Low
"111,112, 7th Road, EPIP Zone, Bharath Aikya Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",12.9800722,77.7253356,1,7.186324541728964,8.12,8.12,7.653162270864481,Low
"1126, 9th Main Road, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.9119729,77.6352496,1,7.186324541728964,15.89,15.89,11.538162270864483,Low
"1127, 9th Main Road, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.9121273,77.6351992,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"1141, 17th Cross Road, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.9124168,77.6327532,4,16.68612885241903,8.12,8.12,12.403064426209516,Low
"1160, 5th Main Road, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.910677098788264,77.63247569941092,1,7.186324541728964,13.77,13.77,10.47816227086448,Low
"11th A Cross Road, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",12.903021299999999,77.62521165,2,11.390054916652556,8.12,8.12,9.755027458326278,Low
"11th A Cross Road, Ramegowda Layout, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.01418615,77.49210625,2,11.390054916652556,10.77,13.42,11.610027458326279,Low
"11th A Main Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",13.035918800000001,77.6250379,2,11.390054916652556,17.65,17.65,14.520027458326277,Low
"11th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.001894521296297,77.57086917685184,108,48.638369116089706,10.563333333333333,25.52,32.592184558044856,Medium
"11th Cross Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",13.00744835,77.5783141,2,11.390054916652556,14.12,14.12,12.755027458326277,Low
"11th Cross Road, Byadarahalli, Benson Town, Bengaluru, Karnataka. Pin-560046 (India)",12.99839085,77.60638835,2,11.390054916652556,11.65,11.65,11.520027458326277,Low
"11th Cross Road, Chikka Biddappa Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",12.890500075,77.638467975,4,16.68612885241903,15.447500000000002,17.3,16.437314426209518,Low
"11th Cross Road, Ganapathinagar, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",13.0636217,77.5898067,1,7.186324541728964,34.6,34.6,20.893162270864483,Low
"11th Cross Road, Govianu Jodidhar Atlantis, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.063735,77.58969,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"11th Cross Road, ITI Layout, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",12.9496297,77.5229762,1,7.186324541728964,30.01,30.01,18.598162270864485,Low
"11th Cross Road, KGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",13.0273668,77.58612,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"11th Cross Road, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.001452149999999,77.5696397423077,26,34.170164749957664,10.950384615384614,14.14,23.198197759594215,Low
"11th Cross Road, Laxmaiah Block, Ganga Nagar, Bengaluru, Karnataka. Pin-560024 (India)",13.027625726506024,77.58602769759035,83,45.93726757383664,11.899277108433735,19.84,30.50641691944844,Medium
"11th Cross Road, Maruthi Extension Vinayaka Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.001719,77.5636089,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"11th Cross Road, Metro Urbano, Muni Reddy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",12.89243128918919,77.63743283243244,37,37.7133102830743,13.455405405405404,19.1,26.71327676315877,Medium
"11th Cross Road, Muni Reddy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",12.8919693,77.6379582,1,7.186324541728964,17.3,17.3,12.243162270864483,Low
"11th Cross Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",12.9493857,77.5990984,2,11.390054916652556,8.12,8.12,9.755027458326278,Low
"11th Cross Road, Nethravathi Block, Vijaya Enclave, Mulki Sundar Ram Shetty Nagar, Bengaluru, Karnataka. Pin-560076 (India)",12.8940914,77.6096705,1,7.186324541728964,10.59,10.59,8.888162270864482,Low
"11th Cross Road, Old Prabhu Layout, Kudlu, Bengaluru, Karnataka. Pin-560068 (India)",12.886841751563848,77.64882136,2,11.390054916652556,9.885,11.65,10.990527458326278,Low
"11th Cross Road, Oscar Orchards, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",13.0626783,77.585285,1,7.186324541728964,43.77,43.77,25.478162270864484,Medium
"11th Cross Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",12.892344744444445,77.63751391851851,27,34.54721265718409,16.208518518518517,20.85,26.306161884147603,Medium
"11th Cross Road, Paresh Apartment, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.001884276470589,77.56892850588235,17,29.966434375034073,11.68235294117647,14.14,21.315923069869978,Low
"11th Cross Road, Phase 2, Ramesh Nagar, Vimanapura, Bengaluru, Karnataka. Pin-560037 (India)",12.960769966666668,77.68175280000001,3,14.372649083457928,14.12,14.12,14.246324541728963,Low
"11th Cross Road, Prestige Technostar, Industrial Area Phase 1, Doddanekundi, Bengaluru, Karnataka. Pin-560048 (India)",12.97186655,77.71135175,2,11.390054916652556,12.535,13.42,12.139527458326278,Low
"11th Cross Road, Rahamaniya Nagar, Padarayanapura, Bengaluru, Karnataka. Pin-560026 (India)",12.9643399,77.5489606,1,7.186324541728964,38.83,38.83,23.00816227086448,Low
"11th Cross Road, Rajiv Gandhi Nagar, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.0021731,77.5253143,2,11.390054916652556,15.89,15.89,13.64002745832628,Low
"11th Cross Road, Ramegowda Layout, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.0141019,77.4933278,2,11.390054916652556,8.12,8.12,9.755027458326278,Low
